dataset_id,observacao_id,longitude_grau,latitude_grau,ano,camada_id,profundidade_inicial_cm,profundidade_final_cm,fracao_grossa_gkg,fracao_argila_gkg,fracao_silte_gkg,fracao_areia_gkg
ctb0080,C44(LVd),-55.3137996532371,-16.1364353012052,2010,1,0,20,122,475,113,412
ctb0080,C44(RQo),-55.4140073363121,-16.3143533875033,2011,1,0,20,124,89,30,881
ctb0080,C44(Soja),-55.3712447904012,-16.2423819316618,2009,1,0,20,93,542,167,291
ctb0080,C44+(Brizantao),-55.40984568199,-16.3070561834695,2010,1,0,20,124,108,37,855
ctb0080,C44+(Cambarazal),-56.2831001132343,-16.5518607873612,2008,1,0,20,154,228,334,438
ctb0080,C44+(Espinhal),-56.2908566454083,-16.5195259852677,2011,1,0,20,105,601,333,66
ctb0080,C44+(LVd),-55.3146251258391,-16.1372190128529,2008,1,0,20,116,454,130,416
ctb0080,C44+(RQo),-55.4147133489465,-16.3150003274487,2009,1,0,20,126,76,32,892
ctb0080,C44+(Soja),-55.3718834570836,-16.2432092132109,2011,1,0,20,95,526,166,308
ctb0080,Cerr1I,-55.134776941587,-15.8469920812715,2010,1,0,10,129,308,133,559
ctb0080,Cerr1II,-55.1351789040045,-15.8469322823416,2008,1,0,10,124,375,100,525
